from,to,cost
1_1,2_1,1
1_3,1_4,1
1_4,1_5,1
1_5,1_6,1
1_5,2_5,1
1_6,1_7,1
1_7,1_8,1
1_8,1_9,1
1_9,1_10,1
1_10,1_11,1
1_11,1_12,1
1_12,1_13,1
1_13,1_14,1
1_14,1_15,1
1_15,1_16,1
1_16,1_17,1
1_17,2_17,1
1_19,1_20,1
1_20,1_21,1
1_21,1_22,1
1_21,2_21,1
1_22,1_23,1
1_23,2_23,1
1_25,1_26,1
1_25,2_25,1
1_26,1_27,1
1_27,1_28,1
1_28,1_29,1
1_29,1_30,1
1_30,1_31,1
1_31,1_32,1
1_31,2_31,1
1_32,1_33,1
1_33,1_34,1
1_34,1_35,1
1_35,1_36,1
1_36,1_37,1
1_37,1_38,1
1_38,1_39,1
1_39,1_40,1
1_40,1_41,1
1_41,2_41,1
1_43,1_44,1
1_43,2_43,1
1_44,1_45,1
1_45,2_45,1
1_47,1_48,1
1_48,1_49,1
1_49,1_50,1
1_49,2_49,1
1_50,1_51,1
1_51,1_52,1
1_52,1_53,1
1_53,1_54,1
1_54,1_55,1
1_55,1_56,1
1_56,1_57,1
1_57,1_58,1
1_57,2_57,1
1_58,1_59,1
1_59,1_60,1
1_59,2_59,1
1_60,1_61,1
1_61,2_61,1
1_63,1_64,1
1_63,2_63,1
1_64,1_65,1
1_65,1_66,1
1_66,1_67,1
1_67,1_68,1
1_68,1_69,1
1_69,1_70,1
1_69,2_69,1
1_70,1_71,1
1_71,1_72,1
1_72,1_73,1
1_72,2_72,1
1_73,1_74,1
1_74,1_75,1
1_75,1_76,1
1_76,1_77,1
1_77,1_78,1
1_78,1_79,1
1_79,2_79,1
2_1,3_1,1
2_5,3_5,1
2_17,3_17,1
2_21,3_21,1
2_23,3_23,1
2_25,3_25,1
2_31,3_31,1
2_41,3_41,1
2_43,3_43,1
2_45,3_45,1
2_49,3_49,1
2_57,3_57,1
2_59,3_59,1
2_61,3_61,1
2_63,3_63,1
2_69,3_69,1
2_72,3_72,1
2_79,3_79,1
3_1,3_2,1
3_2,3_3,1
3_3,4_3,1
3_5,3_6,1
3_5,4_5,1
3_6,3_7,1
3_7,4_7,1
3_9,3_10,1
3_9,4_9,1
3_10,3_11,1
3_11,3_12,1
3_11,4_11,1
3_12,3_13,1
3_13,3_14,1
3_14,3_15,1
3_15,4_15,1
3_17,3_18,1
3_18,3_19,1
3_19,4_19,1
3_21,4_21,1
3_25,4_25,1
3_27,3_28,1
3_28,3_29,1
3_29,4_29,1
3_31,4_31,1
3_33,3_34,1
3_33,4_33,1
3_34,3_35,1
3_35,3_36,1
3_36,3_37,1
3_37,3_38,1
3_38,3_39,1
3_41,3_42,1
3_42,3_43,1
3_45,3_46,1
3_46,3_47,1
3_47,4_47,1
3_51,3_52,1
3_51,4_51,1
3_52,3_53,1
3_53,3_54,1
3_54,3_55,1
3_55,4_55,1
3_57,4_57,1
3_59,4_59,1
3_61,4_61,1
3_63,3_64,1
3_64,3_65,1
3_65,3_66,1
3_65,4_65,1
3_66,3_67,1
3_69,4_69,1
3_71,3_72,1
3_71,4_71,1
3_72,3_73,1
3_73,3_74,1
3_74,3_75,1
3_75,3_76,1
3_76,3_77,1
3_79,4_79,1
4_3,5_3,1
4_5,5_5,1
4_7,5_7,1
4_9,5_9,1
4_11,5_11,1
4_15,5_15,1
4_19,5_19,1
4_21,5_21,1
4_25,5_25,1
4_29,5_29,1
4_31,5_31,1
4_33,5_33,1
4_47,5_47,1
4_51,5_51,1
4_55,5_55,1
4_57,5_57,1
4_59,5_59,1
4_61,5_61,1
4_65,5_65,1
4_69,5_69,1
4_71,5_71,1
4_79,5_79,1
5_1,5_2,1
5_1,6_1,1
5_2,5_3,1
5_7,6_7,1
5_11,5_12,1
5_12,5_13,1
5_13,6_13,1
5_15,6_15,1
5_17,5_18,1
5_17,6_17,1
5_18,5_19,1
5_21,5_22,1
5_21,6_21,1
5_22,5_23,1
5_23,5_24,1
5_24,5_25,1
5_27,5_28,1
5_27,6_27,1
5_28,5_29,1
5_31,6_31,1
5_33,6_33,1
5_35,5_36,1
5_35,6_35,1
5_36,5_37,1
5_37,5_38,1
5_38,5_39,1
5_39,5_40,1
5_40,5_41,1
5_41,5_42,1
5_42,5_43,1
5_43,5_44,1
5_44,5_45,1
5_45,6_45,1
5_47,6_47,1
5_49,5_50,1
5_49,6_49,1
5_50,5_51,1
5_53,6_53,1
5_55,6_55,1
5_57,6_57,1
5_59,6_59,1
5_61,5_62,1
5_61,6_61,1
5_62,5_63,1
5_65,6_65,1
5_67,5_68,1
5_67,6_67,1
5_68,5_69,1
5_71,5_72,1
5_71,6_71,1
5_72,5_73,1
5_73,5_74,1
5_74,5_75,1
5_75,6_75,1
5_77,5_78,1
5_77,6_77,1
5_78,5_79,1
6_1,7_1,1
6_7,7_7,1
6_13,7_13,1
6_15,7_15,1
6_17,7_17,1
6_21,7_21,1
6_27,7_27,1
6_31,7_31,1
6_33,7_33,1
6_35,7_35,1
6_45,7_45,1
6_47,7_47,1
6_49,7_49,1
6_53,7_53,1
6_55,7_55,1
6_57,7_57,1
6_59,7_59,1
6_61,7_61,1
6_65,7_65,1
6_67,7_67,1
6_71,7_71,1
6_75,7_75,1
6_77,7_77,1
7_1,8_1,1
7_3,7_4,1
7_3,8_3,1
7_4,7_5,1
7_5,7_6,1
7_6,7_7,1
7_9,7_10,1
7_9,8_9,1
7_10,7_11,1
7_11,7_12,1
7_12,7_13,1
7_15,8_15,1
7_17,8_17,1
7_19,7_20,1
7_20,7_21,1
7_21,7_22,1
7_22,7_23,1
7_23,7_24,1
7_24,7_25,1
7_25,8_25,1
7_27,7_28,1
7_27,8_27,1
7_28,7_29,1
7_29,8_29,1
7_31,8_31,1
7_33,7_34,1
7_34,7_35,1
7_35,7_36,1
7_36,7_37,1
7_37,8_37,1
7_39,7_40,1
7_39,8_39,1
7_40,7_41,1
7_41,7_42,1
7_42,7_43,1
7_43,8_43,1
7_45,8_45,1
7_47,8_47,1
7_49,8_49,1
7_51,7_52,1
7_51,8_51,1
7_52,7_53,1
7_53,8_53,1
7_55,8_55,1
7_59,8_59,1
7_63,7_64,1
7_63,8_63,1
7_64,7_65,1
7_67,8_67,1
7_69,8_69,1
