from,to,cost
1_1,1_2,1
1_1,2_1,1
1_2,1_3,1
1_2,2_2,1
1_3,1_4,1
1_3,2_3,1
1_4,1_5,1
1_4,2_4,1
1_5,1_6,1
1_5,2_5,1
1_6,1_7,1
1_6,2_6,1
1_7,1_8,1
1_7,2_7,1
1_8,1_9,1
1_8,2_8,1
1_9,1_10,1
1_9,2_9,1
1_10,1_11,1
1_10,2_10,1
1_11,1_12,1
1_11,2_11,1
1_12,1_13,1
1_12,2_12,1
1_13,1_14,1
1_13,2_13,1
1_14,1_15,1
1_14,2_14,1
1_15,1_16,1
1_15,2_15,1
1_16,1_17,1
1_16,2_16,1
1_17,1_18,1
1_17,2_17,1
1_18,1_19,1
1_18,2_18,1
1_19,1_20,1
1_19,2_19,1
1_20,1_21,1
1_20,2_20,1
1_21,1_22,1
1_21,2_21,1
1_22,1_23,1
1_22,2_22,1
1_23,1_24,1
1_23,2_23,1
1_24,1_25,1
1_24,2_24,1
1_25,1_26,1
1_25,2_25,1
1_26,1_27,1
1_26,2_26,1
1_27,1_28,1
1_27,2_27,1
1_28,1_29,1
1_28,2_28,1
1_29,1_30,1
1_29,2_29,1
1_30,1_31,1
1_30,2_30,1
1_31,1_32,1
1_31,2_31,1
1_32,1_33,1
1_32,2_32,1
1_33,1_34,1
1_33,2_33,1
1_34,1_35,1
1_34,2_34,1
1_35,1_36,1
1_35,2_35,1
1_36,1_37,1
1_36,2_36,1
1_37,1_38,1
1_37,2_37,1
1_38,1_39,1
1_38,2_38,1
1_39,1_40,1
1_39,2_39,1
1_40,1_41,1
1_40,2_40,1
1_41,1_42,1
1_41,2_41,1
1_42,1_43,1
1_42,2_42,1
1_43,1_44,1
1_43,2_43,1
1_44,1_45,1
1_44,2_44,1
1_45,1_46,1
1_45,2_45,1
1_46,1_47,1
1_46,2_46,1
1_47,1_48,1
1_47,2_47,1
1_48,1_49,1
1_48,2_48,1
1_49,1_50,1
1_49,2_49,1
1_50,1_51,1
1_50,2_50,1
1_51,1_52,1
1_51,2_51,1
1_52,1_53,1
1_52,2_52,1
1_53,1_54,1
1_53,2_53,1
1_54,1_55,1
1_54,2_54,1
1_55,1_56,1
1_55,2_55,1
1_56,1_57,1
1_56,2_56,1
1_57,1_58,1
1_57,2_57,1
1_58,1_59,1
1_58,2_58,1
1_59,1_60,1
1_59,2_59,1
1_60,1_61,1
1_60,2_60,1
1_61,1_62,1
1_61,2_61,1
1_62,1_63,1
1_62,2_62,1
1_63,1_64,1
1_63,2_63,1
1_64,1_65,1
1_64,2_64,1
1_65,1_66,1
1_65,2_65,1
1_66,1_67,1
1_66,2_66,1
1_67,1_68,1
1_67,2_67,1
1_68,1_69,1
1_68,2_68,1
1_69,1_70,1
1_69,2_69,1
1_70,1_71,1
1_70,2_70,1
1_71,1_72,1
1_71,2_71,1
1_72,1_73,1
1_72,2_72,1
1_73,1_74,1
1_73,2_73,1
1_74,1_75,1
1_74,2_74,1
1_75,1_76,1
1_75,2_75,1
1_76,1_77,1
1_76,2_76,1
1_77,1_78,1
1_77,2_77,1
1_78,2_78,1
2_1,2_2,1
2_1,3_1,1
2_2,2_3,1
2_2,3_2,1
2_3,2_4,1
2_3,3_3,1
2_4,2_5,1
2_4,3_4,1
2_5,2_6,1
2_5,3_5,1
2_6,2_7,1
2_6,3_6,1
2_7,2_8,1
2_7,3_7,1
2_8,2_9,1
2_8,3_8,1
2_9,2_10,1
