id,row,col,x,y
1_1,1,1,1,1
1_2,1,2,2,1
1_3,1,3,3,1
1_4,1,4,4,1
1_5,1,5,5,1
1_6,1,6,6,1
1_7,1,7,7,1
1_8,1,8,8,1
1_9,1,9,9,1
1_10,1,10,10,1
1_11,1,11,11,1
1_12,1,12,12,1
1_13,1,13,13,1
1_14,1,14,14,1
1_15,1,15,15,1
1_16,1,16,16,1
1_17,1,17,17,1
1_18,1,18,18,1
1_19,1,19,19,1
1_20,1,20,20,1
1_21,1,21,21,1
1_22,1,22,22,1
1_23,1,23,23,1
1_24,1,24,24,1
1_25,1,25,25,1
1_26,1,26,26,1
1_27,1,27,27,1
1_28,1,28,28,1
1_29,1,29,29,1
1_30,1,30,30,1
1_31,1,31,31,1
1_32,1,32,32,1
1_33,1,33,33,1
1_34,1,34,34,1
1_35,1,35,35,1
1_36,1,36,36,1
1_37,1,37,37,1
1_38,1,38,38,1
1_39,1,39,39,1
1_40,1,40,40,1
1_41,1,41,41,1
1_42,1,42,42,1
1_43,1,43,43,1
1_44,1,44,44,1
1_45,1,45,45,1
1_46,1,46,46,1
1_47,1,47,47,1
1_48,1,48,48,1
1_49,1,49,49,1
1_50,1,50,50,1
1_51,1,51,51,1
1_52,1,52,52,1
1_53,1,53,53,1
1_54,1,54,54,1
1_55,1,55,55,1
1_56,1,56,56,1
1_57,1,57,57,1
1_58,1,58,58,1
1_59,1,59,59,1
1_60,1,60,60,1
1_61,1,61,61,1
1_62,1,62,62,1
1_63,1,63,63,1
1_64,1,64,64,1
1_65,1,65,65,1
1_66,1,66,66,1
1_67,1,67,67,1
1_68,1,68,68,1
1_69,1,69,69,1
1_70,1,70,70,1
1_71,1,71,71,1
1_72,1,72,72,1
1_73,1,73,73,1
1_74,1,74,74,1
1_75,1,75,75,1
1_76,1,76,76,1
1_77,1,77,77,1
1_78,1,78,78,1
2_1,2,1,1,2
2_2,2,2,2,2
2_3,2,3,3,2
2_4,2,4,4,2
2_5,2,5,5,2
2_6,2,6,6,2
2_7,2,7,7,2
2_8,2,8,8,2
2_9,2,9,9,2
2_10,2,10,10,2
2_11,2,11,11,2
2_12,2,12,12,2
2_13,2,13,13,2
2_14,2,14,14,2
2_15,2,15,15,2
2_16,2,16,16,2
